host_id,price,number_of_reviews,calculated_host_listings_count,availability_365,host_since_days,host_is_superhost,,host_listings_count,host_total_listings_count,host_has_profile_pic,,host_identity_verified,,accommodates,bathrooms,bedrooms,beds,avg_rm,availability_30,availability_60,availability_90,number_of_reviews_ltm,instant_bookable,,NumberOfVerfication,govermentIdentification,,numberofamentities
17713555,175,0,1,179,2319,f,1,0,0,t,0,f,1,2,2,1,1,1.333333333,30,60,90,0,f,1,4,no,0,15
32051421,200,0,1,0,2024,f,1,1,1,t,0,t,0,2,1,1,1,1,0,0,0,0,f,1,7,yes,1,11
155840761,250,0,1,83,1114,f,1,1,1,t,0,f,1,2,1,1,1,1,23,53,83,0,t,0,2,no,0,19
110185428,250,0,2,0,1404,f,1,2,2,t,0,f,1,2,1,2,2,1.666666667,0,0,0,0,f,1,4,yes,1,22
39267987,300,1,1,89,1938,f,1,1,1,t,0,t,0,1,1,1,1,1,29,59,89,0,f,1,9,yes,1,21
62598975,33,94,3,1,1704,t,0,3,3,t,0,t,0,1,1,1,1,1,1,1,1,14,f,1,7,yes,1,32
62598975,35,73,3,0,1704,t,0,3,3,t,0,t,0,2,1,1,1,1,0,0,0,17,f,1,7,yes,1,30
52770574,37,0,1,0,1777,f,1,0,0,t,0,f,1,1,3,1,1,1.666666667,0,0,0,0,f,1,1,no,0,10
62598975,39,49,3,1,1704,t,0,3,3,t,0,t,0,2,1,1,1,1,0,1,1,10,f,1,7,yes,1,24
299786852,40,1,1,178,404,f,1,0,0,t,0,f,1,1,1,1,1,1,28,58,88,1,f,1,1,no,0,10
2058261,46,95,2,27,3144,t,0,2,2,t,0,f,1,2,1,1,1,1,9,21,27,27,t,0,3,no,0,34
2058261,47,122,2,63,3144,t,0,2,2,t,0,f,1,2,1,1,2,1.333333333,15,33,63,22,t,0,3,no,0,31
22166049,47,179,3,238,2228,t,0,3,3,t,0,t,0,2,1,1,1,1,0,0,0,17,f,1,5,no,0,29
26141,48,251,3,75,4133,t,0,4,4,t,0,t,0,2,1,1,1,1,20,46,75,43,f,1,7,yes,1,33
721326,49,196,2,171,3431,t,0,4,4,t,0,t,0,1,1,1,1,1,21,51,81,18,f,1,8,yes,1,49
721326,49,67,2,145,3431,t,0,4,4,t,0,t,0,1,1,1,1,1,1,25,55,17,f,1,8,yes,1,43
5612220,49,6,4,365,2787,f,1,4,4,t,0,t,0,2,1,1,1,1,30,60,90,0,t,0,5,no,0,28
96481593,49,96,1,0,1509,t,0,1,1,t,0,f,1,2,1,1,1,1,0,0,0,20,f,1,9,yes,1,28
5612220,50,6,4,364,2787,f,1,4,4,t,0,t,0,1,1,1,1,1,29,59,89,0,t,0,5,no,0,17
3569938,52,145,1,0,2979,f,1,1,1,t,0,t,0,2,1,1,1,1,0,0,0,1,t,0,7,yes,1,41
51599059,54,3,1,0,1790,f,1,1,1,t,0,t,0,2,1,1,1,1,0,0,0,0,f,1,7,yes,1,16
55465123,54,12,2,304,1756,t,0,2,2,t,0,t,0,2,1,1,1,1,0,24,54,8,f,1,9,yes,1,29
5612220,55,6,4,364,2787,f,1,4,4,t,0,t,0,2,1,1,2,1.333333333,29,59,89,0,f,1,5,no,0,20
27644190,55,44,2,330,2098,t,0,2,2,t,0,f,1,2,1,1,1,1,0,25,55,6,f,1,9,yes,1,36
166236910,55,1,1,0,1039,f,1,1,1,t,0,f,1,2,15,1,1,5.666666667,0,0,0,0,t,0,2,no,0,10
50419933,56,2,1,0,1804,f,1,1,1,t,0,t,0,2,15,1,1,5.666666667,0,0,0,0,f,1,4,no,0,11
55465123,59,57,2,338,1756,t,0,2,2,t,0,t,0,2,1,1,1,1,30,60,90,18,f,1,9,yes,1,28
27644190,60,41,2,329,2098,t,0,2,2,t,0,f,1,2,1,1,1,1,0,24,54,5,f,1,9,yes,1,29
60292833,60,97,1,30,1721,t,0,1,1,t,0,t,0,2,1,1,1,1,25,30,30,10,f,1,4,no,0,22
67804170,60,98,1,329,1667,f,1,1,1,t,0,f,1,2,1,1,1,1,0,24,54,4,t,0,9,yes,1,23
151705975,60,40,1,2,1145,t,0,1,1,t,0,f,1,2,1,1,1,1,2,2,2,11,f,1,7,yes,1,32
21510377,60,0,1,0,2244,f,1,1,1,t,0,t,0,2,1,1,1,1,0,0,0,0,t,0,5,no,0,8
40628707,65,351,3,162,1924,t,0,4,4,t,0,t,0,1,1,1,1,1,30,60,90,73,f,1,5,no,0,32
200441442,65,10,2,19,858,t,0,2,2,t,0,f,1,2,1,1,1,1,2,2,19,8,t,0,2,no,0,32
26002005,70,0,2,34,2129,f,1,2,2,t,0,f,1,2,15,1,1,5.666666667,0,5,34,0,f,1,6,yes,1,31
59431727,70,2,1,0,1726,f,1,0,0,t,0,f,1,2,1,1,1,1,0,0,0,2,f,1,7,yes,1,28
21374752,75,2,1,364,2248,f,1,1,1,t,0,t,0,1,1,1,1,1,29,59,89,0,f,1,4,no,0,11
33152885,75,105,1,178,2010,t,0,1,1,t,0,f,1,2,1,1,1,1,28,58,88,12,t,0,4,no,0,41
40628707,75,411,3,178,1924,t,0,4,4,t,0,t,0,1,1,1,1,1,28,58,88,93,f,1,5,no,0,34
40628707,75,290,3,157,1924,t,0,4,4,t,0,t,0,1,15,1,1,5.666666667,25,51,76,100,f,1,5,no,0,27
74053005,75,82,1,226,1630,t,0,1,1,t,0,f,1,2,1,1,1,1,11,37,58,32,t,0,4,yes,1,29
56221785,75,0,1,26,1750,f,1,1,1,t,0,f,1,2,1,1,,1,20,26,26,0,t,0,2,no,0,14
10683123,80,109,1,300,2520,t,0,1,1,t,0,t,0,2,1,1,1,1,0,0,25,10,f,1,5,no,0,31
26002005,80,2,2,0,2129,f,1,2,2,t,0,f,1,2,2,2,2,2,0,0,0,0,f,1,6,yes,1,24
84512445,80,0,1,89,1576,f,1,0,0,t,0,f,1,1,1,1,1,1,30,60,89,0,f,1,2,no,0,13
2225669,80,10,2,0,3120,f,1,2,2,t,0,t,0,2,1,2,1,1.333333333,0,0,0,10,f,1,4,no,0,35
213780291,85,40,1,6,797,t,0,1,1,t,0,f,1,2,1,1,1,1,0,0,6,25,t,0,2,no,0,38
4970095,85,4,1,0,2835,f,1,1,1,t,0,f,1,2,1,1,1,1,0,0,0,2,f,1,6,yes,1,16
26141,89,305,3,57,4133,t,0,4,4,t,0,t,0,2,1,1,1,1,10,29,57,58,f,1,7,yes,1,38
119508792,89,0,3,0,1345,f,1,4,4,t,0,f,1,2,1,1,0,0.666666667,0,0,0,0,f,1,6,yes,1,26
16448266,90,0,1,0,2349,f,1,1,1,t,0,t,0,2,1,1,1,1,0,0,0,0,f,1,5,no,0,19
38457666,90,132,1,0,1946,f,1,2,2,t,0,t,0,4,1,1,2,1.333333333,0,0,0,17,t,0,4,no,0,16
200441442,90,22,2,17,858,t,0,2,2,t,0,f,1,2,1,1,1,1,0,0,17,6,f,1,2,no,0,41
37833187,94,14,1,0,1953,t,0,1,1,t,0,t,0,3,1,1,2,1.333333333,0,0,0,12,f,1,7,yes,1,38
89358339,95,0,1,364,1552,f,1,1,1,t,0,f,1,2,1,1,1,1,29,59,89,0,f,1,2,no,0,0
22868294,95,4,2,22,2210,f,1,2,2,t,0,f,1,2,1,1,1,1,0,0,0,0,f,1,9,yes,1,27
201581287,175,4,1,300,853,f,1,1,1,t,0,f,1,2,15,1,1,5.666666667,0,0,25,1,t,0,2,no,0,14
152187939,20,6,5,66,1141,f,1,5,5,t,0,f,1,2,15,1,1,5.666666667,17,39,60,0,f,1,4,yes,1,22
152187939,20,4,5,0,1141,f,1,5,5,t,0,f,1,2,15,1,1,5.666666667,0,0,0,0,f,1,4,yes,1,22
152187939,20,10,5,66,1141,f,1,5,5,t,0,f,1,2,15,1,1,5.666666667,17,39,60,0,f,1,4,yes,1,22
159116197,22,108,1,103,1089,t,0,1,1,t,0,f,1,1,1,1,1,1,0,0,0,36,t,0,6,yes,1,37
85329963,40,3,1,25,1572,f,1,1,1,t,0,f,1,3,1,1,1,1,0,0,25,3,t,0,4,no,0,20
254693278,45,1,1,89,580,f,1,1,1,t,0,f,1,1,1,1,1,1,29,59,89,0,f,1,4,yes,1,16
92276155,50,65,3,117,1535,t,0,3,3,t,0,f,1,2,1,1,1,1,0,0,27,18,t,0,4,no,0,32
129808479,50,0,1,0,1279,f,1,1,1,t,0,f,1,2,1,1,1,1,0,0,0,0,f,1,2,no,0,13
92276155,50,37,3,52,1535,t,0,3,3,t,0,f,1,2,1,1,1,1,0,22,52,11,t,0,4,no,0,36
51819326,60,0,1,0,1787,f,1,2,2,t,0,f,1,1,1,1,1,1,0,0,0,0,f,1,9,yes,1,15
152187939,60,3,5,66,1141,f,1,5,5,t,0,f,1,4,15,1,2,6,17,39,60,0,f,1,4,yes,1,23
56125752,70,19,2,100,1751,t,0,2,2,t,0,t,0,2,1,1,2,1.333333333,0,11,16,0,f,1,7,yes,1,45
112965740,75,1,1,0,1387,f,1,1,1,t,0,f,1,2,1,1,2,1.333333333,0,0,0,1,t,0,8,yes,1,39
162268141,80,0,2,365,1065,f,1,1,1,t,0,f,1,1,2,1,1,1.333333333,30,60,90,0,t,0,1,no,0,16
162268141,90,0,2,365,1065,f,1,1,1,t,0,f,1,2,1,1,1,1,30,60,90,0,t,0,1,no,0,16
92276155,99,26,3,209,1535,t,0,3,3,t,0,f,1,2,1,1,1,1,1,1,1,4,t,0,4,no,0,41
766039,110,1,8,89,3420,t,0,8,8,t,0,t,0,2,1,1,1,1,30,60,89,0,f,1,6,yes,1,29
